id,game_name,hours_played,player_count,review_rating,review_count,tag_value
1,natoque penatibus et magnis,1044,227951,8,26166,1
2,at turpis donec posuere metus vitae,3823,143988,5,20778,1
3,tortor quis turpis sed ante vivamus tortor duis,3832,176746,6,259080,4
4,varius integer ac leo pellentesque ultrices mattis odio,1960,191596,5,288134,1
5,odio in,196,136295,7,193213,1
6,odio elementum eu,1271,38617,5,108914,5
7,id mauris,72,211774,6,239197,5
8,velit vivamus vel nulla eget eros elementum,2176,197478,6,265132,3
9,pretium iaculis diam erat fermentum justo nec,3043,73668,8,84921,5
10,at vulputate vitae nisl aenean lectus pellentesque eget,1855,59646,8,277332,1
11,arcu adipiscing molestie hendrerit,341,92806,5,54836,4
12,malesuada in imperdiet et commodo vulputate justo in,2089,93818,5,43339,5
13,pellentesque volutpat dui maecenas tristique est et,2616,284469,8,276652,2
14,orci luctus et ultrices posuere cubilia curae,732,56974,9,2378,4
15,sit amet eros suspendisse accumsan tortor,1833,231041,7,287620,5
16,lorem ipsum dolor sit amet consectetuer adipiscing elit,407,119635,9,252251,3
17,hac habitasse platea dictumst etiam,1548,276013,5,17186,2
18,ipsum primis in,3625,14915,5,244972,5
19,ligula vehicula,3800,104247,5,51858,1
20,vel est donec odio justo,758,12172,7,90720,4
21,vestibulum ante ipsum primis in,2948,190965,5,276524,2
22,lobortis convallis tortor risus dapibus augue vel,3620,62088,8,2372,2
23,augue luctus tincidunt nulla mollis molestie,1079,204075,9,39179,5
24,vivamus tortor,2506,200301,5,86110,1
25,sed augue aliquam erat volutpat,3845,225304,6,166932,2
26,pede lobortis,677,188918,6,138731,3
27,lectus aliquam sit amet,763,263104,6,268362,3
28,ante vivamus tortor duis mattis,358,101950,5,179677,4
29,mattis nibh,2667,153116,6,134930,5
30,sed magna,2865,17235,7,15706,3
31,cum sociis,132,164890,9,248662,2
32,porttitor pede justo eu massa,1006,52723,7,101508,4
33,in tempor turpis nec euismod scelerisque quam,3292,221012,7,41840,2
